Average of Active_energy,Date
37.07306397,2006-12-16
25.65740741,2006-12-17
13.21418981,2006-12-18
9.119375,2006-12-19
14.15611111,2006-12-20
9.597635605,2006-12-21
16.93770833,2006-12-22
42.87252315,2006-12-23
20.01680556,2006-12-24
21.7650463,2006-12-25
32.61840278,2006-12-26
12.63148148,2006-12-27
13.01525463,2006-12-28
24.41912037,2006-12-29
16.02598516,2006-12-30
35.68583333,2006-12-31
27.48939815,2007-01-01
10.91087963,2007-01-02
4.39587963,2007-01-03
11.73162037,2007-01-04
9.850671296,2007-01-05
6.440792217,2007-01-06
7.441712963,2007-01-07
4.423749119,2007-01-08
10.80493056,2007-01-09
10.13405093,2007-01-10
4.15712963,2007-01-11
17.14793981,2007-01-12
21.5219213,2007-01-13
21.65619643,2007-01-14
12.02104167,2007-01-15
13.06717593,2007-01-16
15.38921296,2007-01-17
11.47965278,2007-01-18
10.46458333,2007-01-19
21.69643519,2007-01-20
20.33034722,2007-01-21
14.54414352,2007-01-22
16.32106481,2007-01-23
22.29831019,2007-01-24
9.685231481,2007-01-25
12.01680556,2007-01-26
11.54712963,2007-01-27
22.23446838,2007-01-28
11.37041667,2007-01-29
12.33840278,2007-01-30
12.77351852,2007-01-31
9.89162037,2007-02-01
11.18166667,2007-02-02
4.365138889,2007-02-03
9.245578704,2007-02-04
7.967893519,2007-02-05
8.253726852,2007-02-06
4.425833333,2007-02-07
6.693935185,2007-02-08
9.494305556,2007-02-09
10.62689815,2007-02-10
5.801412037,2007-02-11
20.45981481,2007-02-12
10.06372685,2007-02-13
15.95662037,2007-02-14
11.59590278,2007-02-15
12.27740741,2007-02-16
16.29666667,2007-02-17
25.40997685,2007-02-18
13.07261574,2007-02-19
24.67833333,2007-02-20
11.90340278,2007-02-21
26.68217432,2007-02-22
7.362731481,2007-02-23
5.548865741,2007-02-24
4.425925926,2007-02-25
4.384537037,2007-02-26
4.4425,2007-02-27
4.421226852,2007-02-28
8.188819444,2007-03-01
27.78405093,2007-03-02
6.04724537,2007-03-03
10.4662037,2007-03-04
4.655300926,2007-03-05
9.920671296,2007-03-06
6.450833333,2007-03-07
5.295648148,2007-03-08
6.15025463,2007-03-09
8.087430556,2007-03-10
4.160532407,2007-03-11
12.1525463,2007-03-12
7.618333333,2007-03-13
12.02597222,2007-03-14
11.88511574,2007-03-15
12.00525463,2007-03-16
13.16631944,2007-03-17
13.70030093,2007-03-18
12.09951389,2007-03-19
11.75935185,2007-03-20
12.06148148,2007-03-21
8.81849537,2007-03-22
8.016527778,2007-03-23
16.38043981,2007-03-24
26.41700255,2007-03-25
9.078726852,2007-03-26
8.127083333,2007-03-27
10.66756944,2007-03-28
9.833865741,2007-03-29
9.440439815,2007-03-30
21.16863426,2007-03-31
24.1524537,2007-04-01
26.0224537,2007-04-02
10.59027778,2007-04-03
10.83041667,2007-04-04
6.839212963,2007-04-05
5.721967593,2007-04-06
4.544791667,2007-04-07
7.060532407,2007-04-08
7.059537037,2007-04-09
8.856689815,2007-04-10
9.240578704,2007-04-11
13.23583333,2007-04-12
4.609513889,2007-04-13
4.619305556,2007-04-14
5.683148148,2007-04-15
6.222337963,2007-04-16
8.524699074,2007-04-17
7.828773148,2007-04-18
6.290486111,2007-04-19
6.09837963,2007-04-20
6.755046296,2007-04-21
13.59414352,2007-04-22
6.710486111,2007-04-23
6.159490741,2007-04-24
7.491921296,2007-04-25
7.587337963,2007-04-26
7.754074074,2007-04-27
17.18888889,2007-04-28
7.237326389,2007-04-30
24.8324537,2007-05-01
11.18912037,2007-05-02
11.44226852,2007-05-03
10.31155093,2007-05-04
6.487407407,2007-05-05
8.580462963,2007-05-06
6.914236111,2007-05-07
4.376597222,2007-05-08
6.778148148,2007-05-09
9.346435185,2007-05-10
11.64226852,2007-05-11
14.75648148,2007-05-12
8.515023148,2007-05-13
9.272939815,2007-05-14
6.491111111,2007-05-15
7.756759259,2007-05-16
6.775185185,2007-05-17
8.259143519,2007-05-18
8.047939815,2007-05-19
12.5287963,2007-05-20
6.347013889,2007-05-21
6.944351852,2007-05-22
8.019861111,2007-05-23
6.543611111,2007-05-24
8.137962963,2007-05-25
7.950787037,2007-05-26
10.80055556,2007-05-27
8.804259259,2007-05-28
7.951388889,2007-05-29
7.520208333,2007-05-30
7.415625,2007-05-31
12.3080787,2007-06-01
10.49837963,2007-06-02
9.954861111,2007-06-03
8.370601852,2007-06-04
14.42782407,2007-06-05
8.621473245,2007-06-06
5.160694444,2007-06-07
6.30625,2007-06-08
5.33025463,2007-06-09
10.01226852,2007-06-10
12.08076389,2007-06-11
17.00594907,2007-06-12
5.85037037,2007-06-13
5.876203704,2007-06-14
3.935,2007-06-15
10.23219907,2007-06-16
10.10798611,2007-06-17
4.540208333,2007-06-18
5.684515531,2007-06-19
5.867893519,2007-06-20
4.448680556,2007-06-21
3.475856481,2007-06-22
3.31349537,2007-06-23
5.327037037,2007-06-24
5.17224537,2007-06-25
5.703101852,2007-06-26
5.803078704,2007-06-27
5.334467593,2007-06-28
6.886472087,2007-06-29
6.97099537,2007-06-30
12.37476852,2007-07-01
13.89048611,2007-07-02
12.6644213,2007-07-03
10.92898148,2007-07-04
8.389166667,2007-07-05
7.481736111,2007-07-06
5.844282407,2007-07-07
9.08287037,2007-07-08
6.044398148,2007-07-09
9.349236111,2007-07-10
13.21456019,2007-07-11
10.4525,2007-07-12
5.680347222,2007-07-13
6.335069444,2007-07-14
6.263155216,2007-07-15
5.921458333,2007-07-16
4.942268519,2007-07-17
4.451412037,2007-07-18
4.442430556,2007-07-19
6.397939815,2007-07-20
6.2325,2007-07-21
5.656404911,2007-07-22
6.690949074,2007-07-23
4.547731481,2007-07-24
3.744444444,2007-07-25
4.482175926,2007-07-26
7.638125,2007-07-27
6.458356481,2007-07-28
2.822175926,2007-07-29
3.647407407,2007-07-30
4.643657407,2007-07-31
13.43194444,2007-08-01
11.99622685,2007-08-02
9.709861111,2007-08-03
15.82194444,2007-08-04
10.03648148,2007-08-05
7.070671296,2007-08-06
5.707175926,2007-08-07
4.813912037,2007-08-08
7.077685185,2007-08-09
8.855578704,2007-08-10
11.45046296,2007-08-11
14.66671296,2007-08-12
5.24087963,2007-08-13
5.412847222,2007-08-14
6.410648148,2007-08-15
5.233981481,2007-08-16
6.123981481,2007-08-17
2.756481481,2007-08-18
5.402013889,2007-08-19
4.815300926,2007-08-20
5.121712963,2007-08-21
5.582268519,2007-08-22
7.246898148,2007-08-23
8.329789205,2007-08-24
4.974537037,2007-08-25
7.688263889,2007-08-26
7.164930556,2007-08-27
5.297037037,2007-08-28
4.177453704,2007-08-29
6.54025463,2007-08-30
7.448865741,2007-08-31
10.69854167,2007-09-01
9.852986111,2007-09-02
7.736944444,2007-09-03
6.736111111,2007-09-04
6.693935185,2007-09-05
6.865596767,2007-09-06
6.087708333,2007-09-07
4.52662037,2007-09-08
8.428263889,2007-09-09
10.18053241,2007-09-10
11.27715278,2007-09-11
15.67898148,2007-09-12
8.024560185,2007-09-13
8.016319444,2007-09-14
7.182083333,2007-09-15
8.36462963,2007-09-16
7.289652778,2007-09-17
7.025462963,2007-09-18
7.614398148,2007-09-19
6.517037037,2007-09-20
5.871759259,2007-09-21
6.708240741,2007-09-22
7.97974537,2007-09-23
6.775347222,2007-09-24
11.40048611,2007-09-25
9.900602689,2007-09-26
9.845138889,2007-09-27
9.262708333,2007-09-28
12.87733796,2007-09-29
9.069097222,2007-09-30
13.66273148,2007-10-01
17.25587963,2007-10-02
14.50060185,2007-10-03
6.550740741,2007-10-04
4.900740741,2007-10-05
7.10962963,2007-10-06
5.703981481,2007-10-07
4.069097222,2007-10-08
7.972175926,2007-10-09
8.419814815,2007-10-10
17.88796296,2007-10-11
13.6469213,2007-10-12
13.11189815,2007-10-13
11.66958333,2007-10-14
8.369097222,2007-10-15
10.41229167,2007-10-16
10.96956019,2007-10-17
9.69849537,2007-10-18
12.97902778,2007-10-19
8.18525463,2007-10-20
11.79421296,2007-10-21
9.876574074,2007-10-22
10.87932313,2007-10-23
11.91384259,2007-10-24
13.61293981,2007-10-25
12.39268519,2007-10-26
10.12671296,2007-10-27
4.505532407,2007-10-28
4.216990741,2007-10-29
5.087361111,2007-10-30
5.397106481,2007-10-31
15.01636574,2007-11-01
27.23018519,2007-11-02
27.97263889,2007-11-03
5.040532407,2007-11-04
5.855023148,2007-11-05
5.159189815,2007-11-06
3.536944444,2007-11-07
4.003587963,2007-11-08
6.324907407,2007-11-09
12.51673611,2007-11-10
15.0437963,2007-11-11
14.45236111,2007-11-12
13.8330787,2007-11-13
11.41543981,2007-11-14
10.54615741,2007-11-15
12.69506944,2007-11-16
16.47539352,2007-11-17
15.30113426,2007-11-18
11.55247685,2007-11-19
13.1499537,2007-11-20
12.54639796,2007-11-21
13.91756944,2007-11-22
13.8955787,2007-11-23
8.677708333,2007-11-24
9.54650463,2007-11-25
11.01384259,2007-11-26
13.53439815,2007-11-27
12.26018519,2007-11-28
12.17639565,2007-11-29
12.02787037,2007-11-30
10.86106481,2007-12-01
11.91006944,2007-12-02
11.05148148,2007-12-03
4.58525463,2007-12-04
7.150069444,2007-12-05
6.290115741,2007-12-06
5.436365741,2007-12-07
6.831527778,2007-12-08
7.285231481,2007-12-09
9.862083333,2007-12-10
12.1331713,2007-12-11
12.01576389,2007-12-12
13.42622685,2007-12-13
10.5162963,2007-12-14
17.99208333,2007-12-15
19.03956019,2007-12-16
12.1647672,2007-12-17
17.84298611,2007-12-18
14.60476852,2007-12-19
11.64511574,2007-12-20
13.47287037,2007-12-21
15.61046296,2007-12-22
16.06027778,2007-12-23
12.48597222,2007-12-24
19.35842593,2007-12-25
20.58518519,2007-12-26
19.88284722,2007-12-27
17.72722222,2007-12-28
22.78236111,2007-12-29
15.25805556,2007-12-30
13.48219907,2007-12-31
19.75043981,2008-01-01
12.30592593,2008-01-02
10.43074074,2008-01-03
9.189722222,2008-01-04
4.502939815,2008-01-05
11.84486111,2008-01-06
5.425,2008-01-07
3.818935185,2008-01-08
6.345717593,2008-01-09
8.575740741,2008-01-10
8.026828704,2008-01-11
11.48284722,2008-01-12
22.11299514,2008-01-13
12.32907407,2008-01-14
15.69782407,2008-01-15
15.01009259,2008-01-16
11.24354167,2008-01-17
13.60194444,2008-01-18
11.399375,2008-01-19
15.21606481,2008-01-20
14.00020833,2008-01-21
13.116875,2008-01-22
11.46513889,2008-01-23
13.92710648,2008-01-24
16.32009259,2008-01-25
18.33875,2008-01-26
17.21256944,2008-01-27
16.84439815,2008-01-28
17.94263889,2008-01-29
13.76534722,2008-01-30
15.0669213,2008-01-31
10.6394213,2008-02-01
17.18895066,2008-02-02
8.028773148,2008-02-03
10.71217593,2008-02-04
8.734583333,2008-02-05
6.973055556,2008-02-06
7.295856481,2008-02-07
2.862916667,2008-02-08
7.598773148,2008-02-09
9.024560185,2008-02-10
8.338125,2008-02-11
12.66925926,2008-02-12
12.47358796,2008-02-13
11.00951389,2008-02-14
11.92439815,2008-02-15
16.72277778,2008-02-16
14.39916667,2008-02-17
10.16949074,2008-02-18
12.26152778,2008-02-19
14.36678241,2008-02-20
12.77835648,2008-02-21
10.84935185,2008-02-22
11.53836347,2008-02-23
5.914675926,2008-02-24
4.327175926,2008-02-25
4.266666667,2008-02-26
4.271064815,2008-02-27
4.289861111,2008-02-28
7.213518519,2008-02-29
11.47324074,2008-03-01
13.56722222,2008-03-02
9.292013889,2008-03-03
7.978888889,2008-03-04
9.32037037,2008-03-05
8.236296296,2008-03-06
5.117361111,2008-03-07
2.769467593,2008-03-08
6.736412037,2008-03-09
8.537731481,2008-03-10
7.586574074,2008-03-11
12.60398148,2008-03-12
10.83905093,2008-03-13
12.15277778,2008-03-14
12.02060185,2008-03-15
10.96296296,2008-03-16
8.483078704,2008-03-17
9.889189815,2008-03-18
9.119768519,2008-03-19
8.772847222,2008-03-20
9.872708333,2008-03-21
12.43768519,2008-03-22
11.45659722,2008-03-23
13.05360204,2008-03-24
9.847638889,2008-03-25
9.235787037,2008-03-26
9.35349537,2008-03-27
9.66162037,2008-03-28
12.79016204,2008-03-29
13.64180556,2008-03-30
8.382291667,2008-03-31
13.80453704,2008-04-01
11.24418981,2008-04-02
10.21493056,2008-04-03
7.669884259,2008-04-04
9.711226852,2008-04-05
7.45962963,2008-04-06
4.728703704,2008-04-07
6.311558953,2008-04-08
5.821759259,2008-04-09
12.73907407,2008-04-10
10.91569444,2008-04-11
11.31756944,2008-04-12
10.91210648,2008-04-13
10.32710648,2008-04-14
8.884791667,2008-04-15
8.510231481,2008-04-16
8.673865741,2008-04-17
9.800578704,2008-04-18
11.15543981,2008-04-19
9.64025463,2008-04-20
6.903888889,2008-04-21
7.264537037,2008-04-22
8.572314815,2008-04-23
7.163333333,2008-04-24
6.181180556,2008-04-25
7.52275463,2008-04-26
6.96875,2008-04-27
5.261944444,2008-04-28
10.82148148,2008-04-29
6.987569444,2008-04-30
13.47046296,2008-05-01
12.90944444,2008-05-02
12.14060185,2008-05-03
10.69377315,2008-05-04
7.777222222,2008-05-05
5.301365741,2008-05-06
5.201944444,2008-05-07
3.835625,2008-05-08
4.73125,2008-05-09
10.77395833,2008-05-10
17.97280093,2008-05-11
16.19256944,2008-05-12
7.870069444,2008-05-13
7.489837963,2008-05-14
7.723240741,2008-05-15
9.540449699,2008-05-16
8.374467593,2008-05-17
9.937476852,2008-05-18
5.62224537,2008-05-19
7.358032407,2008-05-20
7.190648148,2008-05-21
5.812592593,2008-05-22
5.989305556,2008-05-23
8.268935185,2008-05-24
10.42203704,2008-05-25
7.333449074,2008-05-26
8.08912037,2008-05-27
5.704074074,2008-05-28
6.044398148,2008-05-29
6.229444444,2008-05-30
7.922106481,2008-05-31
12.62828704,2008-06-01
11.75532407,2008-06-02
23.12578704,2008-06-03
11.79233796,2008-06-04
7.547916667,2008-06-05
7.575856481,2008-06-06
9.069722222,2008-06-07
1.88,2008-06-08
5.760347222,2008-06-09
8.952569444,2008-06-10
12.69233796,2008-06-11
16.15412037,2008-06-12
7.324530924,2008-06-13
6.616666667,2008-06-14
9.228958333,2008-06-15
6.431527778,2008-06-16
5.193564815,2008-06-17
5.75287037,2008-06-18
7.383356481,2008-06-19
6.691018519,2008-06-20
6.467523148,2008-06-21
6.649259259,2008-06-22
5.248796296,2008-06-23
6.042962963,2008-06-24
5.753819444,2008-06-25
4.955787037,2008-06-26
8.721203704,2008-06-27
7.093518519,2008-06-28
4.932777778,2008-06-29
4.210601852,2008-06-30
11.38858796,2008-07-01
11.75081019,2008-07-02
12.02101852,2008-07-03
9.089791667,2008-07-04
7.987777778,2008-07-05
8.188703704,2008-07-06
4.49849537,2008-07-07
1.873888889,2008-07-08
8.043472222,2008-07-09
12.40634259,2008-07-10
10.51694444,2008-07-11
16.58425926,2008-07-12
6.262100139,2008-07-13
5.535023148,2008-07-14
6.360648148,2008-07-15
5.997939815,2008-07-16
8.236365741,2008-07-17
6.994027778,2008-07-18
5.998078704,2008-07-19
5.011273148,2008-07-20
5.525439815,2008-07-21
4.875949074,2008-07-22
5.346180556,2008-07-23
5.949421296,2008-07-24
4.190671296,2008-07-25
4.447037037,2008-07-26
6.123101852,2008-07-27
5.063472222,2008-07-28
8.013634259,2008-07-29
8.379259259,2008-07-30
7.834467593,2008-07-31
12.88761574,2008-08-01
13.94819444,2008-08-02
15.56296296,2008-08-03
9.24162037,2008-08-04
12.63354167,2008-08-05
7.136365741,2008-08-06
6.725162037,2008-08-07
1.788657407,2008-08-08
6.404907407,2008-08-09
9.159444444,2008-08-10
12.79974537,2008-08-11
11.44092593,2008-08-12
1.715092593,2008-08-13
1.682152778,2008-08-14
1.688125,2008-08-15
1.701550926,2008-08-16
1.683981481,2008-08-17
1.669189815,2008-08-18
1.693888889,2008-08-19
1.674675926,2008-08-20
1.629143519,2008-08-21
1.666712963,2008-08-22
1.625023148,2008-08-23
1.609907407,2008-08-24
1.606689815,2008-08-25
1.624814815,2008-08-26
1.641597222,2008-08-27
1.672060185,2008-08-28
1.688055556,2008-08-29
1.703518519,2008-08-30
4.93692379,2008-08-31
13.47106481,2008-09-01
13.78953704,2008-09-02
