created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 14 08:08:12 +0000 2023;1713104402696040900;"selama aku nonton ice cold : jessica salah - gak salah - salah - gak salah wkwkw 😃😃";0;0;0;0;in;1378971478486478849;1713104402696040900;bobabrownsugars;https://twitter.com/bobabrownsugars/status/1713104402696040900
Sat Oct 14 07:07:17 +0000 2023;1713089073051750611;"Selain Ice Cold Jessica Wongso, Ini Sederet Film Dokumenter tentang Kasus Kontroversial di Indonesia https://t.co/Sr3LybqwsO";0;1;0;1;in;58880688;1713089073051750611;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1713089073051750611
Sat Oct 14 05:37:09 +0000 2023;1713066392675848389;"JUSTICE FOR JESSICA  Kopi sianida mirna edy salihin ice cold https://t.co/QhfQSE7rh2";0;0;0;0;tl;1102729022474084352;1713066392675848389;GoPotatoJoa;https://twitter.com/GoPotatoJoa/status/1713066392675848389
Sat Oct 14 05:00:01 +0000 2023;1713057044507357569;"Kehidupan mendiang Mirna Salihin kembali disorot usai film dokumenter Ice Cold: Murder, Coffee and Jessica Wongso tayang. https://t.co/Fw8sQE38pm";0;0;0;0;in;864334585860980737;1713057044507357569;haibundacom;https://twitter.com/haibundacom/status/1713057044507357569
Sat Oct 14 03:04:14 +0000 2023;1713027906958422156;"Kamu sudah nonton film dokumenter “Ice Cold: Murder, Coffee, and Jessica Wongso” di Netflix belum?";0;1;0;1;in;81066525;1713027117305536812;klinikhukum;https://twitter.com/klinikhukum/status/1713027906958422156
Sat Oct 14 02:46:35 +0000 2023;1713023464746217698;"surat klarifikasi jessica kumala wongso , jessica menjelaskan bahwasannya jesica tdk pernah membayar Pak otto , justru ia dan berkeluarga sangat berterimakasih karena sudah di bantu dengan ikhlas #jessicakumalawongso #icecold #ottohasibuan https://t.co/u5hqGWDlnP";0;0;0;1;in;1702577360271474688;1713023464746217698;AntariLova;https://twitter.com/AntariLova/status/1713023464746217698
Sat Oct 14 02:17:34 +0000 2023;1713016165688307806;"Link Nonton Film Ice Cold: Murder, Kopi, dan Jessica Wongso, Saksikan Kisah Menegangkan ini di Netflix! https://t.co/yzawLEQHVw";0;0;0;0;in;1527494041071648768;1713016165688307806;beritatrencom;https://twitter.com/beritatrencom/status/1713016165688307806
Fri Oct 13 21:06:00 +0000 2023;1712937756001734963;"My greatest wish in life is to find a man who loves me as much as Farida loves an ice cold beverage #BBUK";0;1;0;4;en;1005326094;1712921426729025904;JoeWritesThings;https://twitter.com/JoeWritesThings/status/1712937756001734963
Fri Oct 13 20:33:18 +0000 2023;1712929527121518975;"@convomfs Sender mahasiswa apa siswa? Kalo mahasiswa icecold yg jessica, ambil yg kejujuran kesaksian dr forensik pak djaja. Kalo siswa/i, coba kasus bullying karena lagi marak bgt, apalagi di lingkungan sekolah.";0;0;0;0;in;1505139173627346946;1712833114513490323;luluhan34129239;https://twitter.com/luluhan34129239/status/1712929527121518975
Fri Oct 13 19:15:17 +0000 2023;1712909891311226918;"gue bkan dokter/ahli forensik, toksikologi, dan semacamnya. gue jga bukan polisi, jaksa, hakim yg tau tntng hukum. tp pas gue liat ice cold, kasusnya kopi sianida, asli wir ganjel bgt. dulu ikutin kasusnya pas sd dan gue jga berpendapat klo jessica ini ga bersalah karna aneh aja…";0;1;0;0;in;1378229805989064709;1712909891311226918;szcturn;https://twitter.com/szcturn/status/1712909891311226918
Fri Oct 13 18:05:56 +0000 2023;1712892441341346060;"abis nonton ice cold mirna drtd mikirin dah ktemu 5 reasons jessica is innocent :D";0;0;0;0;in;1674480850594054144;1712892441341346060;mbjordanclones;https://twitter.com/mbjordanclones/status/1712892441341346060
Fri Oct 13 17:19:14 +0000 2023;1712880687647543433;"lanjut ice cold jessica dulu lah";0;0;0;0;in;1588051050442805248;1712880687647543433;rimunomi;https://twitter.com/rimunomi/status/1712880687647543433
Fri Oct 13 16:50:21 +0000 2023;1712873418931294600;"Waktu Ice Cold awal rilis, inget banget ada lewat di tl kalo dokumenter ini pasti bakal menggiring opini publik buat lebih pro Jessica dan bener aja sekarang yg pro udah rame banget daaannn alasannya menurut aku yang gak pernah ngikutin kasusnya dulu itu juga CUKUP LOGIS! 🤯";0;1;0;0;in;1583841092327206912;1712873418931294600;moussemuse;https://twitter.com/moussemuse/status/1712873418931294600
Fri Oct 13 16:28:10 +0000 2023;1712867838787203324;"Baru selesai nonton ice cold😂 stelah kmrn ke pause2 mulu krn ketiduran. Kubu bener2 kebagi dua ini, ada yg setuju jessica pembunuhnya, ada yg ga setuju. Dan aku? Aku ga memihak kubu manapun. In my opinion, this case isn't clear enough to suspect who is the killer of Mirna -con";0;2;0;2;in;1309521970975760385;1712867838787203324;bucinhyukjae_;https://twitter.com/bucinhyukjae_/status/1712867838787203324
Fri Oct 13 14:15:00 +0000 2023;1712834323064508516;"Rilisnya film dokumenter kasus pembunuhan Mirna Salihin, 'Ice Cold: Coffee, Murder and Jessica Wongso' membuat sosok Hani Boon teman Mirna https://t.co/y0Es3jKzrs";0;0;1;0;in;48890883;1712834323064508516;1nserttranstv;https://twitter.com/1nserttranstv/status/1712834323064508516
Fri Oct 13 13:44:23 +0000 2023;1712826617620316412;"@Devesreux Jessica setelah nonton ice cold. Kalo km?";0;0;0;0;in;905099480046772225;1712823826713600320;TheGodeest;https://twitter.com/TheGodeest/status/1712826617620316412
Fri Oct 13 13:38:02 +0000 2023;1712825021578518717;"@Cuustos Pro jessica setelag nonton ice cold";0;1;0;0;it;905099480046772225;1712823826713600320;TheGodeest;https://twitter.com/TheGodeest/status/1712825021578518717
Fri Oct 13 12:02:34 +0000 2023;1712800995078717710;"DRAMA ICE COLD, JESSICA SEBENARNYA ADALAH PSIKOPAT ?? | Diary Vlog  #21  https://t.co/tJmVkSCtZR On @Youtube   #justalkmember #justalkmedia #coachjustinl #diaryciknit #psikolog #jessica #jessicamirna #icecold #kopisianida #sianida #racun #viral #psikopat #viral #fyp https://t.co/7LtWhHelqZ";0;0;0;0;in;342039310;1712800995078717710;diary_ciknit;https://twitter.com/diary_ciknit/status/1712800995078717710
Fri Oct 13 11:47:02 +0000 2023;1712797088801849521;"Kalo Ice Cold, Murder, Coffee and Jessica Wongso gak tayang di netflix dan bikin kontroversi baru, bisa jadi gak akan ada tuh ya PK? Aku belum nonton filmnya. Ada yg sudah? Emang fakta barunya apa? https://t.co/Am683Wb59d";0;3;2;0;in;43486890;1712781494668894676;negativisme;https://twitter.com/negativisme/status/1712797088801849521
Fri Oct 13 11:26:56 +0000 2023;1712792029535834614;"minggu bolu awal oktober jam republic wonwoo vernon pertalite jessica mirna ice cold sore besok senin yuqi wasit mbak taylor pandawara lalisa jepang giselle taka good to me pretty u aju nice pertamax upacara jungkook mandalika tell them pasangan kampus  https://t.co/IjchpawqeJ";0;0;0;0;in;717127015363522562;1712792029535834614;olland_yolanda;https://twitter.com/olland_yolanda/status/1712792029535834614
Fri Oct 13 11:23:15 +0000 2023;1712791101298659834;"Film Dokumenter Ice Cold  Murder, Coffee and Jessica Wongso dinilai berhasil menggiring opini baru dan memunculkan dukungan berlebihan atas kasus yang sudah lama inkrah.  Saksikan selengkapnya yang akan tayang di YouTube Diskursus Net.  #icecold #netflix #jessica #kasusjessica https://t.co/hoS5dGdntW";0;0;0;0;in;1431093872835235843;1712791101298659834;DiskursusNet;https://twitter.com/DiskursusNet/status/1712791101298659834
Fri Oct 13 11:14:09 +0000 2023;1712788812580167774;"Duh karena dokumenter Ice Cold viral, jadi flashback, nih, siapa aja polisi yang waktu itu pegang kasus Kopi Sianida Jessica-Mirna 👀     | Minda Daily via Narasi  https://t.co/oON77issO2";0;0;3;5;in;178600446;1712788812580167774;mindaart;https://twitter.com/mindaart/status/1712788812580167774
Fri Oct 13 10:46:08 +0000 2023;1712781762563350896;"Usia heboh film dokumenter Ice Cold, pengacara Jessica Kumala Wongso, menyatakan akan mengajukan peninjauan kembali atau PK, terkait kasus k3M4t1a4n Wayan Mirna Salihin.  Download #MetroTVXtend di Play Store dan App Store.  #icecold #dokumentericecold #jessicakumalawongso… https://t.co/rr1Mt3gQLU";2;0;6;23;in;57261519;1712781762563350896;Metro_TV;https://twitter.com/Metro_TV/status/1712781762563350896
Fri Oct 13 10:45:04 +0000 2023;1712781494668894676;"Kasus Kopi Sianida kembali ramai setelah netflix merilis dokumenter Ice Cold, kabarnya pengacara Jessica Wongso bakal ajukan PK ke Kejagung.  Bisa gak sih kasus ini dibuka kembali? https://t.co/eJ6Yp3JX05";5;3;2;3;in;43486890;1712781494668894676;negativisme;https://twitter.com/negativisme/status/1712781494668894676
Fri Oct 13 10:34:07 +0000 2023;1712778737098604593;"Udah nonton dokumenter Ice Cold di Netflix? Jadi menurut kamu gimana? Like kalo menurut kamu Jessica pelakunya, repost kalo Jessica bukan pelakunya. 🫢  #PandaiGadai #SolusiGadaiTerpercaya #icecold #jessicawongso #kopisianida #dokumenternetflix";0;0;0;0;in;1689886914449739776;1712778737098604593;PandaiGadai;https://twitter.com/PandaiGadai/status/1712778737098604593
Fri Oct 13 10:15:25 +0000 2023;1712774032356147222;"Aku menyadari hal ini, mungkin hal ini tidak terlalu penting  Jessica mirna kopi sianida Icecold https://t.co/GXUWMQggOX";0;1;0;1;in;1607650563751284737;1712774032356147222;Zstlyprom;https://twitter.com/Zstlyprom/status/1712774032356147222
Fri Oct 13 09:58:23 +0000 2023;1712769746532515924;"Biodata dan Profil Tamara Dai, Dihujat usai Cosplay jadi Jessica Wongso Film Ice Cold https://t.co/lN4R1GSb9N";0;0;0;0;in;1628785344769560576;1712769746532515924;inversimedia;https://twitter.com/inversimedia/status/1712769746532515924
Fri Oct 13 08:19:15 +0000 2023;1712744796673188149;""Film ‘Ice Cold’, Soroti Kejanggalan Kasus Kopi Sianida Jessica Wongso"  Baca: https://t.co/85ajd22krx";0;0;0;0;in;1269826533096448001;1712742770576879702;konde_co;https://twitter.com/konde_co/status/1712744796673188149
Fri Oct 13 08:11:12 +0000 2023;1712742770576879702;"Film dokumenter Netflix 'Ice Cold: Murder, Coffee and Jessica Wongso' membuka kembali perbincangan publik soal kasus kopi sianida. Berbagai pertanyaan yang tak terjawab seputar persidangan Jessica Wongso bermunculan lagi usai 7 tahun putusan peradilan. https://t.co/qQu5wWGfEz";0;1;0;0;in;1269826533096448001;1712742770576879702;konde_co;https://twitter.com/konde_co/status/1712742770576879702
Fri Oct 13 07:45:22 +0000 2023;1712736271347687903;"ICE COLD : MURDER , COFFE &amp  JESSICA WONGSO Link full 👇👇 https://t.co/HwML7QPoui https://t.co/m9pneJ7r8Z";0;0;0;0;en;1365507628546232322;1712736271347687903;xxxfilmasik;https://twitter.com/xxxfilmasik/status/1712736271347687903
Fri Oct 13 07:34:35 +0000 2023;1712733555615465920;"Film dokumenter Netflix yang berjudul Ice Cold: Murder, Coffee, and Jessica Wongso yang mengangkat kasus kopi sianida menjadi bukti urgensi reformasi peradilan pidana di Indonesia. #userstory https://t.co/oFGZYIxFBn";0;0;1;3;in;759692754985242625;1712733555615465920;kumparan;https://twitter.com/kumparan/status/1712733555615465920
Fri Oct 13 07:28:00 +0000 2023;1712731897632338359;"Film dokumenter Netflix, Ice Cold: Murder, Coffee and Jessica Wongso membuat kasus kopi sianida yang telah lama ditutup kembali muncul ke permukaan. Pasalnya, kasus ini menuai banyak pro dan kontra dari khalayak. Banyak yang mengatakan bahwa kasus ini memiliki banyak kejanggalan.… https://t.co/m7ohEIs2VS";0;0;0;2;in;55507370;1712731897632338359;tvOneNews;https://twitter.com/tvOneNews/status/1712731897632338359
